old_group	old_target	status	new_group	new_target	profile	mapping	app_file	exclusion_reason
companion	Ebyte_EoRa-S3_companion_radio_ble	built	companion	Ebyte_EoRa-S3_companion_radio_full	full	Ebyte_EoRa-S3_companion_radio_ble -> Ebyte_EoRa-S3_companion_radio_full (full_companion)	Ebyte_EoRa-S3_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
companion	Ebyte_EoRa-S3_companion_radio_usb	built	companion	Ebyte_EoRa-S3_companion_radio_full	full	Ebyte_EoRa-S3_companion_radio_usb -> Ebyte_EoRa-S3_companion_radio_full (full_companion)	Ebyte_EoRa-S3_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
companion	GAT562_30S_Mesh_Kit_companion_radio_ble	built	companion	GAT562_30S_Mesh_Kit_companion_radio_full	full	GAT562_30S_Mesh_Kit_companion_radio_ble -> GAT562_30S_Mesh_Kit_companion_radio_full (full_companion)	GAT562_30S_Mesh_Kit_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_30S_Mesh_Kit_companion_radio_full	built	companion	GAT562_30S_Mesh_Kit_companion_radio_full	full		GAT562_30S_Mesh_Kit_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_30S_Mesh_Kit_companion_radio_usb	built	companion	GAT562_30S_Mesh_Kit_companion_radio_full	full	GAT562_30S_Mesh_Kit_companion_radio_usb -> GAT562_30S_Mesh_Kit_companion_radio_full (full_companion)	GAT562_30S_Mesh_Kit_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_Mesh_Tracker_Pro_companion_radio_ble	built	companion	GAT562_Mesh_Tracker_Pro_companion_radio_full	full	GAT562_Mesh_Tracker_Pro_companion_radio_ble -> GAT562_Mesh_Tracker_Pro_companion_radio_full (full_companion)	GAT562_Mesh_Tracker_Pro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_Mesh_Tracker_Pro_companion_radio_full	built	companion	GAT562_Mesh_Tracker_Pro_companion_radio_full	full		GAT562_Mesh_Tracker_Pro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_Mesh_Tracker_Pro_companion_radio_usb	built	companion	GAT562_Mesh_Tracker_Pro_companion_radio_full	full	GAT562_Mesh_Tracker_Pro_companion_radio_usb -> GAT562_Mesh_Tracker_Pro_companion_radio_full (full_companion)	GAT562_Mesh_Tracker_Pro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	GAT562_Mesh_Watch13_companion_radio_ble	built	companion	GAT562_Mesh_Watch13_companion_radio_full	full	GAT562_Mesh_Watch13_companion_radio_ble -> GAT562_Mesh_Watch13_companion_radio_full (full_companion)	GAT562_Mesh_Watch13_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
companion	Generic_ESPNOW_comp_radio_usb	built	companion	Generic_ESPNOW_companion_radio_full	full	Generic_ESPNOW_comp_radio_usb -> Generic_ESPNOW_companion_radio_full (full_companion)	Generic_ESPNOW_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
